SiteIdx,SublocationIdx,Name,ImagePath(under Resources/Images/Sites) note: this is for siteDetail display on Map,DotCoord(local pos),PrefabName,ShowOnMap,,,,Notes
1,,The Mine,,"-123.2,33.2",,TRUE,,,,
2,,The Factory,,"75,10.9",,TRUE,,,,
3,,The Academy,,"192,32.4",,TRUE,,,,
3,1,Training Chamber I,trainingGround6,,,TRUE,,,,
3,2,Back Yard,backyard,,,TRUE,,,,
4,,Hills ,,"164,2.2",,TRUE,,,,hills near academy
5,,Florescent Woods,,"-147.5,25.1",,TRUE,,,,woods near mine
6,,Forest,,"-185.5,-15.5",,TRUE,,,,forest across mine
7,,Metropolitan,,"28.8,-101.3",,TRUE,,,,
7,1,Xyclop HQ,,,,TRUE,,,,
7,2,Violet's Home,violet_room,,,TRUE,,,,
7,3,Bar,bar,,,TRUE,,,,
8,,Volcano,,"-155.5,-169",,TRUE,,,,
8,1,Volcano Crater,crater,,,TRUE,,,,
9,,Desert,,"-80.4,-156.4",,TRUE,,,,
9,1,Migrant's Camp,,,,TRUE,,,,
10,,Research Lab,,"40.4,-218.4",,TRUE,,,,
10,1,General Reception Area,lab_entrance,,,TRUE,,,,
10,2,Deep Lab,lab_B1F,,,TRUE,,,,
11,,In-lake Island,,"91.7,-186.5",,TRUE,,,,
11,1,Island Center,innerIsland,,,TRUE,,,,
12,,The Cave,,"171.3,-170.3",,TRUE,,,,
13,,Ruins,,"-59.9,-260.2",,TRUE,,,,
14,,Woods II,,"-117.7,-301.1",,TRUE,,,,
14,1,Depth of Woods,woods_boss,,,TRUE,,,,
15,,Bloomberry,,"-119.1,-330.8",,TRUE,,,,
15,1,General Town,,,,TRUE,,,,
15,2,Flower Shop,,,,TRUE,,,,
16,,Bloomberry Flowerfield,flowerfield,"-29.2,-351.4",,TRUE,,,,
17,,Pond,,"-55,-364.9",,TRUE,,,,
18,,Mapleville,,"196.5,-285.5",,TRUE,,,,
18,1,Mapleville Café,,,,FALSE,,,,
18,2,Mapleville Clinic,,,,FALSE,,,,
19,,Mapleville Falls,waterfall,"180.8,-239.5",,TRUE,,,,
20,,Shallow Sea,,"110.8,-340.7",,TRUE,,,,
20,1,Captain Buns' Ship,pirateShip,,,TRUE,,,,
21,,Deep Sea Vortex,,"93.4,-394",,TRUE,,,,
22,,Tropical Island,,"160.8,-372.9",,TRUE,,,,
23,,Snow covered mountain,,"-217,48.1",,TRUE,,,,
