MODE,NAME(DLG); WAVE_TYPE(GAME),TEXT(DLG); ENEMY_TYPE(GAME),SPRITE_STATE(DLG); WAVE_SPAWN_WAIT(GAME),DISP_SPD(DLG); SPAWN_INTERVAL(GAME),VOICE_NO(DLG);  SPAWN_NUM(GAME),ANIM_SPD; ,SPECIAL; COL_DISTRIB(GAME),SPE_PARAM_1,SPE_PARAM_2,SPE_PARAM_3,NOTE
GAME,99,7,ps,0,,,,,,,
,99,8,3,0,,,,,,,
DLG,BUNNY,Test test test,0,1,,,,,,,
,CAPTAIN BUNS,"It is I, the Great, Magnificent, One and Only, Captain Buns!!!",2,1,,,,,,,
GAME,99,8,3,1,,,,,,,
,99,30,0,,,,,,,,
GAME,"5,6,7,8,9,10","0,1,2,3,1,2","0,5,5,-1,4,-1","0.5,0.5,1,1,1,1","4,7,4,3,5,5","RED,BLUE","0.5,1",,,,
,99,32,scrollDone,0,,,,,,,will be set to true when spot is reached
,99,9,0,scrollDone,0,TRUE,,,,,will wait until scrollDone then execute next line
,"1,2,3,4,1,2,4,4,3,1","0,1,1,0,0,1,0,0,1,0","0,4,4,3,3,2,2,1,1,1","1,1,1,1,1,1,1,1,1,1","3,4,3,2,5,5,2,3,4,2,3","BLUE,YELLOW,RED","0.1,0.9,1",,,,
GAME,99,7,ps,1,0,,,,,//set pirate ship active,
GAME,99,99,3,,,,,,,//boss fight,
,99,6,bgFixed,1,0,,,,,,
