ANIM CLIP NAME,ANIM STATE/BASE,PART1,PART2,PART3
BunnyBaseDefault1,1,,,
BunnyBaseSlightBlush2,2,,,
BunnyBaseLightBulb3,3,,,
BunnyBaseEyesClosed4,4,,,
BunnyBaseBlush5,5,,,
BunnyBaseUpset6,6,,,
BunnyBaseUpsetTears7,7,,,
BunnyBaseNotice8,8,,,
BunnyBaseSurprise9,9,,,
BunnyBasePanic10,10,,,
BunnyBaseDrowsy11,11,,,
BunnyBaseFrown12,12,,,
BunnyBaseDubious13,13,,,
BunnyBaseHardBlink14,14,,,
BunnyBaseWorried15,15,,,
BunnyMouthDefault1,,1,,
BunnyMouthTalking2,,2,,
BunnyMouthLine3,,3,,
BunnyMouthSurprised4,,4,,
BunnyMouthSmile5,,5,,
BunnyMouthSmileTalking6,,6,,
BunnyHandsDefault1,,,1,
BunnyHandsTyping2,,,2,
